image_path,label
Biodegradable/leaf_waste/00000042.jpg,Biodegradable
Biodegradable/leaf_waste/00000080.jpg,Biodegradable
Biodegradable/leaf_waste/00000113.jpg,Biodegradable
Biodegradable/leaf_waste/a6876e29-dc0f-4716-bd3c-eedc9f45cf70___GHLB_PS Leaf 41 Day 18.jpg,Biodegradable
Biodegradable/leaf_waste/00000115.jpg,Biodegradable
Biodegradable/leaf_waste/00000095.jpg,Biodegradable
Biodegradable/leaf_waste/00000233.jpg,Biodegradable
Biodegradable/leaf_waste/00000089.jpg,Biodegradable
Biodegradable/leaf_waste/00000048.jpg,Biodegradable
Biodegradable/leaf_waste/00000033.jpg,Biodegradable
Biodegradable/leaf_waste/00000211.jpg,Biodegradable
Biodegradable/leaf_waste/00000267.jpg,Biodegradable
Biodegradable/leaf_waste/00000016.jpg,Biodegradable
Biodegradable/leaf_waste/00000147.jpg,Biodegradable
Biodegradable/leaf_waste/00000236.jpg,Biodegradable
Biodegradable/leaf_waste/00000129.jpg,Biodegradable
Biodegradable/leaf_waste/00000221.jpg,Biodegradable
Biodegradable/leaf_waste/00000284.jpg,Biodegradable
Biodegradable/leaf_waste/00000088.jpg,Biodegradable
Biodegradable/leaf_waste/00000105.jpg,Biodegradable
Biodegradable/leaf_waste/00000094.jpg,Biodegradable
Biodegradable/leaf_waste/a6007dbc-3a2f-4c1e-9ec6-28d7d3a17f28___GHLB_PS Leaf 13 Day 8.jpg,Biodegradable
Biodegradable/leaf_waste/00000028.jpg,Biodegradable
Biodegradable/leaf_waste/00000270.jpg,Biodegradable
Biodegradable/leaf_waste/00000152.jpg,Biodegradable
Biodegradable/leaf_waste/00000141.jpg,Biodegradable
Biodegradable/leaf_waste/00000022.jpg,Biodegradable
Biodegradable/leaf_waste/00000054.jpg,Biodegradable
Biodegradable/leaf_waste/00000204.jpg,Biodegradable
Biodegradable/leaf_waste/00000212.jpg,Biodegradable
Biodegradable/leaf_waste/00000050.jpg,Biodegradable
Biodegradable/leaf_waste/00000228.jpg,Biodegradable
Biodegradable/leaf_waste/00000004.jpg,Biodegradable
Biodegradable/leaf_waste/00000215.jpg,Biodegradable
Biodegradable/leaf_waste/00000256.jpg,Biodegradable
Biodegradable/leaf_waste/1cb5d336-3649-49bf-aa9a-72950067b8b0___GHLB_PS Leaf 12 Day 9.jpg,Biodegradable
Biodegradable/leaf_waste/00000079.jpg,Biodegradable
Biodegradable/leaf_waste/00000008.jpg,Biodegradable
Biodegradable/leaf_waste/00000000.jpg,Biodegradable
Biodegradable/leaf_waste/00000098.jpg,Biodegradable
Biodegradable/leaf_waste/00000125.jpg,Biodegradable
Biodegradable/leaf_waste/00000093.jpg,Biodegradable
Biodegradable/leaf_waste/00000128.jpg,Biodegradable
Biodegradable/leaf_waste/00000100.jpg,Biodegradable
Biodegradable/leaf_waste/00000207.jpg,Biodegradable
Biodegradable/leaf_waste/00000164.jpg,Biodegradable
Biodegradable/leaf_waste/00000018.jpg,Biodegradable
Biodegradable/leaf_waste/00000007.jpg,Biodegradable
Biodegradable/leaf_waste/aa32ce1a-27a6-4371-b119-ff5ea6e34a3d___GHLB_PS Leaf 24 Day 9.jpg,Biodegradable
Biodegradable/leaf_waste/00000242.jpg,Biodegradable
Biodegradable/leaf_waste/00000046.jpg,Biodegradable
Biodegradable/leaf_waste/00000279.jpg,Biodegradable
Biodegradable/leaf_waste/aa2b76f2-a7e8-443c-81eb-20c00c0fd488___GHLB_PS Leaf 39.1 Day 16.jpg,Biodegradable
Biodegradable/leaf_waste/00000011.jpg,Biodegradable
Biodegradable/leaf_waste/00000099.jpg,Biodegradable
Biodegradable/leaf_waste/00000052.jpg,Biodegradable
Biodegradable/leaf_waste/00000040.jpg,Biodegradable
Biodegradable/leaf_waste/00000208.jpg,Biodegradable
Biodegradable/leaf_waste/00000086.jpg,Biodegradable
Biodegradable/leaf_waste/00000193.jpg,Biodegradable
Biodegradable/leaf_waste/00000122.jpg,Biodegradable
Biodegradable/leaf_waste/00000047.jpg,Biodegradable
Biodegradable/leaf_waste/00000220.jpg,Biodegradable
Biodegradable/leaf_waste/00000148.jpg,Biodegradable
Biodegradable/leaf_waste/00000065.jpg,Biodegradable
Biodegradable/leaf_waste/00000102.jpg,Biodegradable
Biodegradable/leaf_waste/00000085.jpg,Biodegradable
Biodegradable/leaf_waste/00000169.jpg,Biodegradable
Biodegradable/leaf_waste/00000084.jpg,Biodegradable
Biodegradable/leaf_waste/00000092.jpg,Biodegradable
Biodegradable/leaf_waste/00000299.jpg,Biodegradable
Biodegradable/leaf_waste/00000255.jpg,Biodegradable
Biodegradable/leaf_waste/00000156.jpg,Biodegradable
Biodegradable/leaf_waste/00000154.jpg,Biodegradable
Biodegradable/leaf_waste/00000038.jpg,Biodegradable
Biodegradable/leaf_waste/00000064.jpg,Biodegradable
Biodegradable/leaf_waste/00000131.jpg,Biodegradable
Biodegradable/leaf_waste/00000262.jpg,Biodegradable
